id,rate
01003,2
01015,2
01019,4
01033,1
01045,2
01051,1
01061,5
01073,22
01077,1
01089,6
01097,7
01101,4
01125,3
01127,1
02020,6
02090,3
02110,1
04003,1
04009,1
04013,47
04015,2
04019,13
04025,1
04027,4
05005,2
05007,7
05009,1
05025,2
05031,6
05035,1
05043,1
05045,2
05087,5
05119,14
05131,2
06001,18
06007,3
06013,9
06015,2
06019,13
06023,5
06027,1
06029,14
06031,3
06033,1
06037,226
06039,1
06041,11
06045,1
06047,2
06053,2
06055,4
06059,47
06061,3
06065,31
06067,14
06071,21
06073,56
06075,25
06077,12
06079,7
06081,16
06083,1
06085,29
06089,7
06093,1
06095,2
06097,1
06099,14
06103,2
06107,7
06109,2
06111,7
06113,1
08001,9
08005,15
08013,11
08031,9
08035,2
08041,8
08045,1
08067,5
08069,7
08077,4
08083,1
08085,4
08101,7
08123,2
09001,9
09003,15
09005,10
09007,3
09009,15
09011,3
09013,2
10001,2
10003,11
10005,3
11001,13
12001,12
12005,3
12009,14
12011,32
12015,2
12017,2
12019,1
12021,7
12031,15
12033,12
12043,1
12053,2
12055,2
12057,18
12061,5
12069,6
12071,18
12073,9
12081,14
12083,3
12085,8
12086,33
12087,1
12091,3
12095,10
12097,3
12099,26
12101,10
12103,24
12105,8
12111,5
12115,9
12117,7
12127,10
13021,3
13027,2
13035,1
13051,3
13057,3
13059,2
13063,4
13067,9
13073,2
13077,1
13089,24
13095,2
13097,1
13111,1
13113,2
13117,2
13121,13
13127,2
13135,3
13139,3
13153,2
13175,2
13215,7
13217,1
13245,5
13299,3
13313,3
15001,2
15003,26
15007,1
15009,3
16001,6
16019,3
16027,3
16043,1
16053,8
16055,5
16057,3
16069,2
17001,2
17007,4
17011,2
17019,3
17021,1
17031,102
17043,14
17077,1
17081,2
17089,7
17091,1
17093,3
17095,1
17097,4
17103,1
17113,5
17115,1
17143,5
17161,5
17163,5
17167,5
17183,1
17199,2
17201,1
18003,4
18005,5
18009,1
18011,1
18015,2
18019,5
18029,1
18035,2
18055,3
18057,14
18063,1
18067,3
18077,1
18081,7
18085,6
18089,7
18093,1
18095,2
18097,7
18141,4
18163,9
18165,3
18167,1
18177,2
19003,1
19005,2
19013,4
19017,1
19041,1
19045,2
19049,6
19061,4
19103,10
19111,1
19113,5
19119,1
19123,1
19127,5
19129,1
19133,1
19153,2
19163,1
19165,1
19169,1
20017,2
20051,2
20091,5
20099,1
20113,1
20117,2
20155,2
20173,5
20177,3
20181,1
21001,1
21005,1
21019,1
21029,1
21035,2
21049,7
21059,2
21067,8
21071,1
21083,1
21111,14
21117,2
21119,1
21145,1
21195,1
22001,1
22007,3
22015,6
22017,1
22019,6
22029,2
22033,11
22045,1
22049,1
22051,17
22055,6
22063,2
22071,5
22073,7
22079,3
22089,1
22103,4
22109,2
22113,1
22115,2
23001,1
23003,3
23005,11
23009,1
23011,5
23015,1
23017,1
23019,8
23021,1
23023,1
23027,1
23031,3
24003,8
24005,27
24009,1
24013,1
24015,1
24017,1
24021,5
24023,1
24025,2
24027,1
24031,31
24033,7
24043,4
24045,5
24510,14
25001,3
25003,2
25005,6
25009,7
25011,1
25013,3
25017,15
25021,37
25023,1
25025,46
25027,12
26005,1
26007,1
26017,4
26019,6
26021,7
26025,3
26037,5
26041,2
26043,2
26049,4
26053,1
26055,4
26059,1
26061,1
26065,3
26075,1
26077,1
26081,20
26085,3
26091,1
26093,2
26099,6
26101,1
26103,3
26105,1
26111,1
26115,3
26121,1
26125,24
26137,2
26145,6
26147,1
26149,1
26161,20
26163,31
27005,1
27007,1
27009,4
27013,5
27021,1
27037,1
27041,3
27047,5
27049,1
27053,21
27061,3
27083,1
27091,2
27109,9
27111,1
27121,1
27123,4
27131,2
27137,1
27147,3
27163,1
27169,1
28011,1
28025,1
28031,4
28033,1
28047,2
28049,8
28057,1
28059,2
28067,1
28071,4
28081,1
28087,1
29003,3
29019,6
29023,3
29027,1
29029,1
29031,1
29047,8
29053,1
29065,1
29077,8
29091,1
29095,7
29097,2
29099,1
29101,1
29165,6
29167,1
29169,1
29183,2
29189,18
29510,11
30003,4
30005,1
30013,3
30017,1
30029,4
30031,6
30043,4
30063,5
30111,2
31001,2
31023,1
31053,1
31055,14
31109,3
31119,1
31153,1
31157,3
31177,1
32003,35
32031,9
33003,1
33005,2
33009,4
33011,5
33013,3
33015,5
34001,6
34003,22
34005,5
